f_id,item,veg_or_non_veg
fd94657,Podi Idli (4pc),Veg
fd94658,Pudina Idli (4pc),Veg
fd94659,Schezwan Idli (4pc),Veg
fd94673,Rasam+aplam,Veg
fd94674,Sambhar Rice,Veg
fd94675,Tomato Coconut Uttapam,Veg
fd94678,Stuffed Cheese Idli (4pc),Veg
fd94679,Stuffed Garlic Masala Idli (4pc),Veg
fd94680,Stuffed Masala Idli (4pc),Veg
fd94681,Stuffed Pudina Idli (4pc),Veg
fd94682,Mexican Dosa With Cheese,Veg
fd94684,Onion Dosa With Cheese,Veg
fd94692,Pav Bhaji Masala Dosa,Veg
fd94693,Chef Special Dahi Vada(1pc),Veg
fd94694,Idli With Sambar (4pc),Veg
fd94695,Medu Vada (2pc),Veg
fd94696,Sambhar Vada (2pc),Veg
fd94702,Supreme,Veg
fd94703,Fresh Pan,Veg
fd94704,Cheese Burst,Veg
fd94705,Choice Of Topping Veg,Veg
fd94706,Choice Of Extra Cheese,Veg
fd94707,Choice Of Creamy Cheese,Veg
fd94708,Cheesy Deep,Veg
fd94709,Zingi Parcel,Veg
fd94710,Grilled Sandvich,Veg
fd94718,Creamy White Pasta,Veg
fd94719,Creamy Mix Sauce Pasta,Veg
fd94725,Tomato Corn,Veg
fd94729,Cheese Paneer,Veg
fd94732,Spicy Tandoori Burger,Veg
fd94733,Extra Cheese Burger,Veg
fd94735,Paneer Petty Burger,Veg
fd94745,Cheese Paneer Special Dosa,Veg
fd94746,Bombay Bhel,Veg
fd94747,Dry Bhel,Veg
fd94748,Punjabi Bhel,Veg
fd94749,Paneer Bhel,Veg
fd94752,Basket Chat,Veg
fd94753,Delhi Chat,Veg
fd94754,Paneer Basket Chat,Veg
fd94755,Paneer Sev Puri,Veg
fd94756,Dahi Soth [6pcs],Veg
fd94758,Atte,Veg
fd94759,Sujji,Veg
fd94762,Aloo Tikki Bhalla,Veg
fd94769,Chowmein H,Veg
fd94770,Chowmein F,Veg
fd94771,Paneer Chowmein H,Veg
fd94772,Paneer Chowmein F,Veg
fd94773,Butter Chowmein H,Veg
fd94774,Butter Chowmein F,Veg
fd94775,Butter Paneer Chowmein H,Veg
fd94776,Butter Paneer Chowmein F,Veg
fd94804,Shahi Thali,Veg
fd94827,Gabhi Paratha,Veg
fd94830,Plain Sandwisch,Veg
fd94832,Patato Sandwich,Veg
fd94833,Veg Gril Sandwich,Veg
fd94844,Sev Tamater,Veg
fd94846,Soya Chap Masala,Veg
fd94847,Mashrum Mutter,Veg
fd94849,Gobhi Adrak,Veg
fd94857,Paneer Labadaar,Veg
fd94862,Shahi Paneer Deluxe Combo(serves 2),Veg
fd94863,Kadhai Paneer Deluxe Combo (serves 2),Veg
fd94864,Dal Makhani Deluxe CCombo (Serves 2),Veg
fd94865,Paneer Butter Masala Deluxe Combo (Serves 2),Veg
fd94866,Matar Paneer Deluxe Combo (Serves 2),Veg
fd94867,Yellow Dal With Rice Bowl,Veg
fd94868,Dal Makhani With Rice Bowl,Veg
fd94869,Rajma Masala With Rice Bowl,Veg
fd94870,Pindi Chole With Rice Bowl,Veg
fd94871,Paneer Tikka Masala With Rice Bowl,Veg
fd94876,Paneer Tikka Shashilk,Veg
fd94885,Tadoori Butter Roti,Veg
fd94886,Tawa Plain Roti,Veg
fd94889,Missi Masala ROti,Veg
fd94901,Hari Mirch Paratha,Veg
fd94906,ALoo Chana Char,Veg
fd94907,Charpata Salad,Veg
fd94908,Peanut Salad,Veg
fd94909,Kadhai Salad,Veg
fd94920,Veg Corn Salt & Pepper,Veg
fd94924,Honey Chilli Paneer,Veg
fd94927,Paneer Pakoda (12 Pcs),Veg
fd94928,Gobi Pakoda (12 Pcs),Veg
fd94929,Mix Pakoda,Veg
fd94930,Golden  Paneer Finger (6 Pcs),Veg
fd94936,Paneer Labadar,Veg
fd94939,Palak Corn Paneer.,Veg
fd94942,Pindi Masala,Veg
fd94949,ALoo Jeera.,Veg
fd94951,Sabz Kalonji,Veg
fd94952,Ms Special Combo,Non-veg
fd94956,Warm Boiled Egg,Non-veg
fd94957,Egg Half Frie,Non-veg
fd94960,Boiled Fried Egg 2 Egg,Non-veg
fd94961,Chatpata Vada Pav,Veg
fd94968,Makka Palak Vada Pav,Veg
fd94970,Maxican Cheese Sandwich,Veg
fd94971,Palak Corn Sandwich,Veg
fd94973,Cheese Corn Sandwich New,Veg
fd94975,Paneer Mint Burger,Veg
fd94989,Makka Roll,Veg
fd94990,Hara Bhara Roll,Veg
fd94993,Red Juicy pasta,Veg
fd94994,White cheesy pasta,Veg
fd95005,Pizza Pocket,Veg
fd95006,Cheese Nuggets,Veg
fd95010,Cheese Ungali,Veg
fd95016,Chicken And Egg Fried Rice,Non-veg
fd95017,Rampuri Paneer Tikka,Veg
fd95022,Macher Jhol,Non-veg
fd95024,Mumtaaz-e Dum Aloo,Veg
fd95025,Awadhi Veg Biryani,Veg
fd95026,Awadhi Murgh Biryani,Non-veg
fd95027,Khara Seena,Non-veg
fd95028,Soola Bootan,Non-veg
fd95029,Chandoori Momos,Veg
fd95030,Chandoori Chicken Momos,Non-veg
fd95031,Kolkata Cottage Cheese Kathi Roll,Veg
fd95032,Kolkata Egg Kathi Roll,Non-veg
fd95033,Kolkata Chicken Kathi Roll,Non-veg
fd95034,Ahuna Mutton,Non-veg
fd95035,Baoli Haandi,Veg
fd95036,Anise Ki Khaas Dal Makhani,Veg
fd95037,Bombay Masala Toastee,Veg
fd95038,Mezze Sampler,Veg
fd95039,Panini - Paneer Tikka,Veg
fd95040,Panini - Chicken Tikka,Non-veg
fd95042,"Citrus, Goat Cheese & Quinoa Salad",Veg
fd95043,Caesar Salad,Non-veg
fd95044,Fusilli Alfredo Pasta,Veg
fd95045,Spaghetti Aglio E Olio Pasta,Veg
fd95046,Penne Pasta In Creamy Pesto,Veg
fd95047,Sweet & Sour Stir Fish Fry,Non-veg
fd95052,Chicken And Eggs Garlic Basil Noodles,Non-veg
fd95055,Stir Fried Vegetable In Garlic Sauce,Veg
fd95058,Asian Five Spiced Chicken,Non-veg
fd95059,Mangolian Lamb With Pokchoy,Non-veg
fd95060,Assorted Indian Breads,Veg
fd95063,Mahi Pudina Begum,Non-veg
fd95068,Anise Special Chicken Curry,Non-veg
fd95072,Gulkand Gulabjamun ( 2 Pcs),Veg
fd95073,Nolen Gur Payesh,Veg
fd95077,Sour Dough Bread,Veg
fd95078,French Baguette,Veg
fd95080,Danish (2 Pcs),Veg
fd95081,Croissant (2 Pcs),Veg
fd95082,Muffins (2 Pcs),Non-veg
fd95083,Vegetable Puffs (2 Pcs),Veg
fd95085,Multigrain Bread Loaf,Veg
fd95087,White Bread Loaf,Veg
fd95088,Anise Ki Khas Dal Makhani,Veg
fd95090,Ahuna Mutton Curry,Non-veg
fd95092,Baoli Handi,Veg
fd95096,Vegetarian Meal For Ten Persons,Veg
fd95097,Non Vegetarian Meal For Ten Persons,Non-veg
fd95099,Shaahi Paneer + 4 Butter Roti,Veg
fd95101,Paneer Dosa (Served with Sambar and Chutney),Veg
fd95102,2 Idli Sambhar,Veg
fd95118,Butter Paneer Masala [serves 1],Veg
fd95120,Pepsi (250ml),Veg
fd95121,Coke (250ml),Veg
fd95127,Paneer paratha [1pc],Veg
fd95128,Missi Roti (1 pc),Veg
fd95129,Tandoori Roti (1 pc),Veg
fd95130,Butter Roti (1 pc),Veg
fd95131,Butter Naan (1 pc),Veg
fd95132,Plain Paratha Combo,Veg
fd95133,Chole Bhature Combo,Veg
fd95135,Gobhi Paratha Combo,Veg
fd95137,Dal Roti Combo [healty Combo],Veg
fd95138,Paneer Butter Masala Combo [serves 2],Veg
fd95139,Paneer Do Pyaza Combo [serves 2],Veg
fd95140,Shahi Paneer Combo [serves 2],Veg
fd95141,Matar Paneer + 4 Butter Roti,Veg
fd95143,Dal Makhani + 2 Butter Roti + Rice,Veg
fd95144,"Veg, Fried + Maaza",Veg
fd95146,Yellow Dal Fry + 2 Butter Roti + Rice,Veg
fd95147,Yellow Dal Fry + 4 Butter Roti,Veg
fd95148,Paneer Pulao + Maaza,Veg
fd95149,Matar Pulao + Maaza,Veg
fd95150,Fried Rice +maaza,Veg
fd95151,Veg Pulao + Maaza,Veg
fd95152,Dal Makhni With Butter Naan And Maaza,Veg
fd95155,Khoya Paneer  Combo,Veg
fd95156,Khoya Paneer + Butter Naan[2 Pcs] + Plain Rice[1 Plate] + Thums Up [250 Ml],Veg
fd95157,Kadai Paneer Deluxe Combo,Veg
fd95158,Dal Rice Combo [healthy Diet],Veg
fd95160,Mix Veg Combo [healthy Combo],Veg
fd95161,Dal Makhani Roti Combo [healthy Diet],Veg
fd95162,Chole Rice Combo [healthy Diet],Veg
fd95163,Dal Fry + Butter Naan + Maaza[150 Ml],Veg
fd95166,Special Dosa Paneer Dosa (Served with Sambar & Chutney),Veg
fd95170,Onion Special Dosa,Veg
fd95173,Maharani Dal,Veg
fd95174,Special Dal  Tadka,Veg
fd95175,Special Dal Panchranga,Veg
fd95198,Hariyali Paneer,Veg
fd95199,Kali Mirch Paneer,Veg
fd95207,Chilli Paneer Roasted,Veg
fd95210,Matar Paneer+Butter naan+Maaza,Veg
fd95211,Kadai paneer+Butter naan+Maaza,Veg
fd95212,Dal Fry+Butter naan+Maaza,Veg
fd95213,Khoya Paneer+2 Butter Roti+Thumsup,Veg
fd95214,Malai Kofta+2 Butter Roti+Thumsup,Veg
fd95215,Dal Makhni+Butter naan+Maaza,Veg
fd95216,Mix Veg+2 Butter Roti+Thumsup,Veg
fd95218,Fry Peeli Dal,Veg
fd95220,Chole Bhature [2 Pcs],Veg
fd95225,"Veg , Chowmein",Veg
fd95226,Shaahi Paneer Thali,Veg
fd95227,Mattar Paneer Thali,Veg
fd95232,"Veg, Pulao",Veg
fd95239,Mithai [ Kheer Mohan ],Veg
fd95242,Regular Butter [ 1 Piece ],Veg
fd95251,Amul Butter [1 Piece],Veg
fd95253,Garlic Naan [ 1 Pcs ],Veg
fd95254,Missi Masala [1 Pcs ],Veg
fd95255,Paneer Naan [ 1 Pcs ],Veg
fd95260,Papad Fried,Veg
fd95264,Muli paratha,Veg
fd95265,Gobhi paratha,Veg
fd95270,Chatpata Aloo Chaat Roll,Veg
fd95271,Vegetable Chatkara Roll,Veg
fd95275,Paneer Kashmiri Roll,Veg
fd95276,Paneer Butter Masala Roll,Veg
fd95277,Achari Soya Roll,Veg
fd95278,Mushroom Do Pyaza Roll,Veg
fd95281,Chilly Mushroom Roll,Veg
fd95282,Chilly Garlic Soya Roll,Veg
fd95283,Schezwan Soya Roll,Veg
fd95286,Soya Chap Roll,Veg
fd95287,Chatpati Chap Roll,Veg
fd95288,Afghani Chap Roll,Veg
fd95289,Veg Chap Tikka Roll,Veg
fd95290,Veg Chap Seekh Roll,Veg
fd95291,Malai Chap Roll,Veg
fd95292,Stuff Masala Chap Roll,Veg
fd95293,Achari Momos [8 Pieces],Veg
fd95294,Afghani Malai Momos [8 Pieces],Veg
fd95295,Crunchy Momos [8 Pieces],Veg
fd95296,Gravy Momos [8 Pieces],Veg
fd95297,Haryali Momos [8 Pieces],Veg
fd95298,Kurkure Momos [8 Pieces],Veg
fd95299,Lehsuni Momos [8 Pieces],Veg
fd95300,Lemon Momos [8 Pieces],Veg
fd95301,Marinated Momos [8 Pieces],Veg
fd95302,Momos Platter [10 Pieces],Veg
fd95303,Toofani Momos [8 Pieces],Veg
fd95308,Tandoori Paneer Papdi,Veg
fd95329,Veg Rada Meat,Veg
fd95330,Veg Keema Mutton,Veg
fd95331,Veg Handi Chaap,Veg
fd95332,Vegetable Mutton,Veg
fd95333,Veg Rogan Josh,Veg
fd95334,Veg Butter Chaap,Veg
fd95335,Butter Shahi Chaap,Veg
fd95336,Changezi Chaap,Veg
fd95340,Matar Pualo,Veg
fd95342,Romo Special Veg Biryani,Veg
fd95344,Crunchy Soya Chap,Veg
fd95346,Stuff Malai Chaap,Veg
fd95347,Afgani Masala Tikka Chaap,Veg
fd95348,Chatpati Chap,Veg
fd95350,Veg KFCC Lolipop,Veg
fd95352,Muglai Chaap,Veg
fd95353,Stuff Masala Chaap,Veg
fd95354,Aachari Chaap,Veg
fd95355,Veg Chicken Tikka Chaap,Non-veg
fd95357,Soya Fried Momos [8 Pieces],Veg
fd95358,Veggie Fried Momos [8 Pieces],Veg
fd95359,Paneer Steam Momos [8 Pieces],Veg
fd95360,Soya Steam Momos [8 Pieces],Veg
fd95361,Veggie Steam Momos [8 Pieces],Veg
fd95363,Soya Tandoori Momos [8 Pieces],Veg
fd95364,Veggie Tandoori Momos [8 Pieces],Veg
fd95367,10 Roti + 1 Dal + 2 Sabji + Rice + Sallat + Raita,Veg
fd95400,cheesy corn sandwich,Veg
fd95401,Paneer Butter Masala Combo [Serves 2],Veg
fd95403,Paneer Do Pyaza Combo,Veg
fd95404,Handi Paneer Combo,Veg
fd95408,Veg Chowmein + Cold Drink,Veg
fd95409,French Fries + Cold Drink,Veg
fd95419,Veg Hot and sour soup,Veg
fd95420,Veg machow soup,Veg
fd95421,Moonlight soup,Veg
fd95422,Roasted Chaap Roll,Veg
fd95427,Aloo chaat,Veg
fd95428,Paneer Tikka [6 Pieces],Veg
fd95429,Achari Paneer Tikka [6 Pieces],Veg
fd95430,Hara Bhara Kabab [6 Pieces],Veg
fd95431,Chilli Milli Kabab [6 Pieces],Veg
fd95432,Veg Seekh Kabab [7 Pieces],Veg
fd95436,Achari Tikka Chaap,Veg
fd95437,Haryali Tikka Chaap,Veg
fd95439,Green Chilli Chaap,Veg
fd95446,Singarpore Noodles,Veg
fd95458,Moonlight Special Dosa,Veg
fd95459,Idli [2 Pieces],Veg
fd95471,Paneer tikka masala,Veg
fd95472,Special Paneer taka tak,Veg
fd95473,Paneer kali mirch,Veg
fd95475,Dal fry,Veg
fd95478,Buttter Kofta,Veg
fd95481,Aloo jeera,Veg
fd95484,Dum aloo kashmiri,Veg
fd95486,Musroom Do pyaza,Veg
fd95491,Butter roti,Veg
fd95493,Masala missi roti,Veg
fd95499,Paneer Onion Stuffed Paratha,Veg
fd95510,Dry papad,Veg
fd95511,Fried papad,Veg
fd95521,Lehsuni Chicken Tikka,Non-veg
fd95524,Lemon Chicken Tikka,Non-veg
fd95530,Mutton Seekh Kababa,Non-veg
fd95531,Stuffed Tangdi [afaghani],Non-veg
fd95559,Mutton Keema Curry,Non-veg
fd95563,Chicken Sag Wala,Non-veg
fd95588,Crunchy Paneer,Veg
fd95601,Chilli Chicken (boneless),Non-veg
fd95611,Shezwan Paneer Roll,Veg
fd95621,Mutton Roll,Non-veg
fd95624,Chef Special Butter Chicken Roll,Non-veg
fd95626,Veg Afghani Malai Momos,Veg
fd95627,Veg Achari Momos,Veg
fd95629,Veg Lemon Momos,Veg
fd95630,Veg Toofani Momos,Veg
fd95637,Paneer Afghani Malai Momos,Veg
fd95638,Paneer Achari Momos,Veg
fd95639,Paneer Hariyali Momos,Veg
fd95640,Paneer Lemon Momos,Veg
fd95641,Paneer Toofani Momos,Veg
fd95646,Paneer Momos Platter,Veg
fd95648,Chicken Afghani Malai Momos,Non-veg
fd95649,Chicken Achari Momos,Non-veg
fd95651,Chicken Lemon Momos,Non-veg
fd95652,Chicken Toofani Momos,Non-veg
fd95657,Chicken Momos Platter,Non-veg
fd95659,Corn & Paneer Momos,Veg
fd95660,Veggie Momos,Veg
fd95662,Corn & Paneer Fried Momos,Veg
fd95663,Veggie Fried Momos,Veg
fd95665,Butter Noodels,Veg
fd95666,Chilli Garlic Noodels,Veg
fd95667,Singapuri Noodels,Veg
fd95668,Hakka Noodels Dry,Veg
fd95673,Veg Minchurian Gravy,Veg
fd95674,Veg Minchurian Dry,Veg
fd95678,Chilli Honey Patato,Veg
fd95682,Paneer Paw Bhaji,Veg
fd95683,Paw Extra,Veg
fd95688,Pizza Masala Dosa,Veg
fd95689,Pizza Paneer Masala Dosa,Veg
fd95695,Masoor Paneer Masala Dosa,Veg
fd95696,Ganesh Special Dry Fruit Dosa,Veg
fd95702,Dry Idli,Veg
fd95703,Masoor Plain Dosa,Veg
fd95771,Dhokla ( 100 gms),Veg
fd95774,Rawa Special Dosa,Veg
fd95785,Panipuri (8 Pcs),Veg
fd95788,Dahi Sonth Golgappe,Veg
fd95790,Sponge Rasgulla (1 Pc),Veg
fd95793,French Fry [Plate],Veg
fd95797,Shree Bankey Bihari Special Samosa,Veg
fd95815,Rawa Uttapam,Veg
fd95821,Butter Paneer Chow mein,Veg
fd95831,Veg Fried Rice with Veg Chilli Paneer,Veg
fd95832,Veg Chaupsuey,Veg
fd95850,Extra Paw,Veg
fd95855,Shree Bankey Bihari Special Kachori,Veg
fd95856,Shree Bankey Bihari Special Kulfi,Veg
fd95857,Kachori [Dal],Veg
fd95896,Maggi Plain,Veg
fd95898,Tadka Maggi,Veg
fd95900,Mm Special Maggi,Veg
fd95901,Peri Peri Maggi,Veg
fd95907,Kids Special Noodles,Veg
fd95909,Corn & Peas Fried Rice,Veg
fd95911,Manchurian Gravy [10pcs],Veg
fd95912,Manchurian Dry 10 Pcs,Veg
fd95913,Schezwan Manchurian 16 Pcs,Veg
fd95914,Soya Garlic Paneer [14pcs],Veg
fd95915,Chilly Paneer [14pcs],Veg
fd95916,Chilly Manchurian [10pcs],Veg
fd95917,Manchurian [10pcs],Veg
fd95918,Chilly Momos [10pcs],Veg
fd95919,Schezwan Momos [10pcs],Veg
fd95920,Veg Momos [10pcs],Veg
fd95921,Chilly Soya Momos [10pcs],Veg
fd95922,Paneer Momos [10pcs],Veg
fd95923,Corn & Chees Momos [10pcs],Veg
fd95926,Veg Calslow,Veg
fd95927,Creamy Peri Peri,Veg
fd95928,Creamy Champ Aloo Tikki Burger,Veg
fd95929,The Cheese Boy Aloo Tikki Burger With Cheese,Veg
fd95930,Hungry Man Patty Burger [Double],Veg
fd95931,Desi Burger,Veg
fd95932,Mm Special Burger,Veg
fd95934,Delux Patties,Veg
fd95936,Creamy Veg Patties,Veg
fd95937,Mm Patties,Veg
fd95938,The Black Ball,Veg
fd95939,Insider Moon,Veg
fd95940,The Choco Dots,Veg
fd95941,White Dots Coffee,Veg
fd95942,Mr Irish,Veg
fd95943,The Turkish Babe,Veg
fd95944,Hazzle from The Farm,Veg
fd95945,The Darker,Veg
fd95946,Gulabo Madam,Veg
fd95947,Alphanso Milk Shake,Veg
fd95948,The White Beauty,Veg
fd95949,Yo Yo Greevary,Veg
fd95950,Black & White,Veg
fd95951,The Shakespearshake,Veg
fd95952,Bubbly Bubblegum,Veg
fd95953,The Paan Shake,Veg
fd95954,Baby Black Current,Veg
fd95955,Dark Knight,Veg
fd95956,Khubsurat Gulab,Veg
fd95957,Miss Pinki Mam,Veg
fd95958,Rosy Darling,Veg
fd95959,Blue Boy,Veg
fd95961,Ly Chee Current,Veg
fd95962,Tripple Sec,Veg
fd95963,A Kala Khatta Punch,Veg
fd95965,Corn Cheese Fries,Veg
fd95966,Cheese Loaded,Veg
fd95968,French Fries Rolls,Veg
fd95970,Cheese Loaded Rolls,Veg
fd95971,Veg Patty Roll,Veg
fd95972,Cheese Patty Roll,Veg
fd95973,Corn Cheese Roll,Veg
fd95978,Malai Soya Chaap,Non-veg
fd95981,Chicken Shami Kabab Roll,Non-veg
fd95982,Veg Shami Kabab Roll,Veg
fd95985,Soya Chaap Tikka Roll,Veg
fd95988,Chicken Curry + 2 Butter Nan,Non-veg
fd95989,Chicken Curry + 2 Lacche Paranthe,Non-veg
fd95990,Chicken Curry + 4 Tandoori Roti,Non-veg
fd95992,Mutton Curry + 2 Butter Nan,Non-veg
fd95993,Mutton Curry + 2 Lacche Paranthe,Non-veg
fd95994,Mutton Curry + 4 Tandoori Roti,Non-veg
fd95995,Shahi Soya Chaap + 2 Butter Nan,Veg
fd95996,Shahi Soya Chaap + 2 Lacche Paranthe,Veg
fd95997,Shahi Soya Chaap + 4 Tandoori Roti,Veg
fd95998,Paneer Butter Masala + 2 Butter Nan,Veg
fd95999,Paneer Butter Masala + 2 Lacche Paranthe,Veg
fd96000,Paneer Butter Masala + 4 Tandoori Roti,Veg
fd96001,Dal Makhani + 2 Butter Nan,Veg
fd96002,Dal Makhani + 2 Lacche Paranthe,Veg
fd96003,Dal Makhani+4 Tandoori Roti,Veg
fd96004,Dal Makhani + 2 Laccche Paranthe,Veg
fd96022,Bambaiyan Roti,Veg
fd96026,Dhania Paratha,Veg
fd96034,Anaarkali Chicken Tikka,Non-veg
fd96035,Anaarkali Chicken,Non-veg
fd96036,Anarkali Paneer Tikka,Veg
fd96037,Mutton Shami Kabab,Non-veg
fd96040,Tandoori Achari Aloo,Veg
fd96042,Chilly Chicken Boneless,Non-veg
fd96045,Tawa Soya Chaap,Veg
fd96051,Patialah Chicken,Non-veg
fd96052,Peshawri Chicken,Non-veg
fd96054,Patialah Chicken Tikka,Non-veg
fd96062,Punjabi Paneer Masala,Veg
fd96066,Palak Corn Masala,Veg
fd96069,Shahi Soya Chaap,Veg
fd96070,Kadahi Soya Chaape,Veg
fd96072,Punjabi Chicken Masala,Non-veg
fd96073,Dhabe Da Chicken,Non-veg
fd96076,Amritsari Keema Chicken,Non-veg
fd96080,Amritsari Keema Mutton,Non-veg
fd96081,Rarra Motton,Non-veg
fd96089,Special Chicken Afgaani,Non-veg
fd96090,Chicken Haryaali,Non-veg
fd96091,Chicken Banjara,Non-veg
fd96092,Chicken Peshabari,Non-veg
fd96093,Chicken Tikka [10 pc],Non-veg
fd96094,Chicken Tikka Banjara  [10 pc],Non-veg
fd96095,Chicken Tikka Hariyali  [10 pc],Non-veg
fd96096,Chicken Tikka  Peshabari  [10 pc],Non-veg
fd96097,Stuff  Tungdi [1 pc],Non-veg
fd96098,Fish Tikka [5 pc],Non-veg
fd96099,Soya Malai Chap [10 pc],Veg
fd96100,Soya Tandoori Chap [10pc],Veg
fd96101,Tandoori Tangdi [1 pc],Non-veg
fd96106,Mutton Korma [6 pc],Non-veg
fd96107,Mutton Curry [6 pc],Non-veg
fd96108,Fish Curry [3 pc],Non-veg
fd96109,Special Egg Curry [2 pc],Non-veg
fd96110,Chicken Biriyani [3 pc],Non-veg
fd96111,Omlet [2 pc],Non-veg
fd96112,Half Fry [2 pc],Non-veg
fd96113,Anda Bhurji [2 pc],Non-veg
fd96114,Bundi Rayta,Veg
fd96115,Mix Rayta,Veg
fd96120,Mix Fruits Shake,Veg
fd96123,Brownee Shake,Veg
fd96127,Strawberry Mint,Veg
fd96129,Red Rose,Veg
fd96134,Pineapple Mint,Veg
fd96135,Guava Punch,Veg
fd96136,Sunset,Veg
fd96137,Aloo Bhalu Chat,Veg
fd96141,Potato Wedge,Veg
fd96142,Tawa Masala Boiled Egg,Non-veg
fd96145,Nachos,Veg
fd96147,Non Veg Buger,Non-veg
fd96150,Thai Lemon Chicken,Non-veg
fd96151,Saute Chicken,Non-veg
fd96154,Chap 65,Veg
fd96156,Dry Schezwan Chilli Paneer,Veg
fd96157,Honey Chilli Chap,Veg
fd96158,Honey Lemon Chilli Mushroom,Veg
fd96159,Saute Paneer,Veg
fd96162,Mutton Kadhai Ghost,Non-veg
fd96181,Rubby Heart,Veg
fd96188,Vanilla Mocktails,Veg
fd96192,Kiwi Mocktails,Veg
fd96193,Rose Heaven Garden,Veg
fd96194,Sky Grass,Veg
fd96195,Kiwi Green Smoothie,Veg
fd96196,Butterscotch Smoothie,Veg
fd96209,Fusion Pizza,Veg
fd96210,Schezwan Chilli Paneer Pizza [8 Inches],Veg
fd96211,Exotica Vegetables Pizza,Veg
fd96213,Peri Peri Chicken Pizza [8 Inches],Non-veg
fd96215,Indiana Paneer Pizza [8 Inches],Veg
fd96216,Chicken Hawalian Pizza,Non-veg
fd96217,Peppy Love Pizza,Veg
fd96220,Veg Arabiatta Pasta,Veg
fd96222,Chicken Arabiatta Pasta,Non-veg
fd96225,Kfc Style Chicken,Non-veg
fd96226,Creamy White Mushroom,Veg
fd96227,Continental Non-veg Sizzler,Non-veg
fd96229,Chicken Tikka Rolls,Non-veg
fd96235,Cheese Kathi Roll,Veg
fd96237,Chicken Pop-corn,Non-veg
fd96248,Singapoori  Fried Rice With Noodels,Veg
fd96249,Veg Fried Rice And Chili Chicken,Non-veg
fd96250,Veg Hakka Noodles And Chili Paneer,Veg
fd96251,Veg Manchurian + Veg Hakka Noodles /rice + 2 Cold Drinks (250ml),Veg
fd96252,1 Margarita Pizza + 4 Garlic Bread + 2 Cold Drinks (250ml),Veg
fd96253,Tasty Burger + 6 Veg Momos Meal + 2 Cold Drinks(250ml),Veg
fd96254,KFC Style Chicken + 2 Cold Drinks,Non-veg
fd96255,Mutter Paneer Rice Bowl,Veg
fd96256,Dal Makhni Meal,Veg
fd96257,Dal Makhni + Malai Kofta Meal,Veg
fd96260,Chicken Korma Rice Bowl,Non-veg
fd96261,Chicken Lababdar Meal,Non-veg
fd96262,Chicken Rara Rice Bowl,Non-veg
fd96263,Dal Makhni + Kadhai Paneer Meal,Veg
fd96264,Dal Makhni + Paneer Lababdar Meal,Veg
fd96266,Punjabi Style Chicken Rice Bowl,Non-veg
fd96268,Kadhai Chicken Meal,Non-veg
fd96270,Paneer Lawabdar Meal,Veg
fd96271,Yellow Dal Tadka + Mix Veg. Jordar Meal,Veg
fd96280,Tomato  Soup(creamy),Veg
fd96283,Veg Lemon Coriender Soup,Veg
fd96293,Chicken Kung-pao,Non-veg
fd96308,Chinese Lemon Paneer,Veg
fd96313,Corn Salt And Papper,Veg
fd96314,Crispy Veg Salt And Pepper,Veg
fd96315,Chicken Drum Of Heaven,Non-veg
fd96318,Exotic Vegetable In Hot Garlic Sauce,Veg
fd96319,Gobhi 65,Veg
fd96323,Hot Garlic Sauce Chicken,Non-veg
fd96326,Paneer Hongkong,Veg
fd96329,Saute Vegetable,Veg
fd96330,Sechezwan Fried Rice,Veg
fd96336,Vegetables Manchurian Gravy,Veg
fd96340,Vegetable Momos,Veg
fd96342,Achari Mushroom Khum,Veg
fd96348,Haryali Chicken Tikka,Non-veg
fd96350,Mushroom Tikka Khumb,Veg
fd96355,Paneer Nawabi Tikka,Veg
fd96358,Soya Haryali Tikka,Veg
fd96360,Soya Tandoori Tikka,Veg
fd96364,Aloo Gobhi Adraki,Veg
fd96378,Dal Dry,Veg
fd96383,Dal Panchratan,Veg
fd96392,Kumb Masala,Veg
fd96394,Mathi Matar Malai,Veg
fd96395,Mix Vegetable Jordar,Veg
fd96407,Navrattan Curry,Veg
fd96415,Paneer Maithi Malai,Veg
fd96417,Paneer Mughlai Lawabdar,Veg
fd96419,Paneer Peshawari,Veg
fd96423,Roofmates Special Kofta,Veg
fd96427,Vegetable Jalfrazi,Veg
fd96429,Yellow Dal Double Tadka,Veg
fd96435,Mirchi Paratha (red And Green Chilli),Veg
fd96442,Olive Naan,Veg
fd96448,Hydrabadi Chicken Biryani,Non-veg
fd96456,Farmer Green Salad,Veg
fd96478,Patato Shorts [10 Pics],Veg
fd96480,Pizza Pocket [4 Pics],Veg
fd96481,Cheese Finger [5 Pics],Veg
fd96485,Sabudana Vadasabudana Vada,Veg
fd96536,Rabdi Ghewar,Veg
fd96538,Saada  Ghewar,Veg
fd96550,Kheer Mohn,Veg
fd96556,Chena  Cham Cham,Veg
fd96559,Kaju Guiya,Veg
fd96560,Kaju Apple,Veg
fd96562,Kaju Pista Paan,Veg
fd96567,Mewa Vati,Veg
fd96569,Sohn Papdi,Veg
fd96570,Chena Rocket,Veg
fd96576,Pinni,Veg
fd96672,Chilly Chicken Mushroom,Non-veg
fd96674,Arrabiata Pasta Red,Veg
fd96676,Tandoori Makhani,Veg
fd96681,Tandoori Afghani Chaap,Veg
fd96692,Sweet Com Soup,Veg
fd96703,Fried Rice/Noodles + Manchurian Chilly Paneer Gravy,Veg
